DragonID,Assay_Num,Assay_Date,age_days,Reproduced,Sex,Gen_Sex,Status,Col_Period,Col_Date,Estrogen_plate,Estrogen_Dilution,Estrogen_CV,Estrogen_Avg_Hormone,Estrogen_Final,Testosterone_plate,Testosterone_Dilution,Testosterone_CV,Testosterone_Avg_Hormone,Testosterone
9544,91,9/11/2023,NA,N,F,ZZF,N_ZZF,Earl,2/10/2020,E04,23.3333333,6.5,12.3,286.9999996,T04,16.66666667,0.4,219.2,3653.333333
82419,58,25/10/2023,NA,M,M,ZZM,M,Late,6/7/2021,E03,23.3333333,0.3,14.3,333.6666662,T03,25,0.3,610.7,15267.5
81803,23,18/10/2023,657,Y,F,ZWF,Y_ZWF,Late,6/7/2021,E02,23.3333333,1.9,19.2,447.9999994,T02,16.66666667,0.3,302.1,5035
82407,55,25/10/2023,NA,M,M,ZZM,M,Late,6/7/2021,E03,23.3333333,4.5,8.3,193.6666664,T03,25,0.2,279.7,6992.5
9122,67,25/10/2023,993,N,F,ZZF,N_ZZF,Earl,30/9/2020,E03,23.3333333,0.3,14.6,340.6666662,T03,16.66666667,0.2,245.5,4091.666667
9570,46,25/10/2023,1404,Y,F,ZZF,Y_ZZF,Mid,23/12/2020,E03,23.3333333,1.4,10.7,249.6666663,T03,16.66666667,0.2,14.4,240
9571,149,20/11/2023,1818,M,M,ZZM,M,Earl,29/9/2020,E07,23.3333333,1.8,13.1,305.6666662,T07,25,0.1,199.7,4992.5
82410,50,25/10/2023,651,N,F,ZZF,N_ZZF,Mid,23/12/2020,E03,23.3333333,2.5,10.6,247.333333,T03,16.66666667,0.1,4.9,81.66666667
9131,6,17/10/2023,959,N,F,ZZF,N_ZZF,Earl,30/9/2020,E01,23.3333333,1.6,10,233.333333,T01,25,0.08075,193.8,4845
9511,138,19/11/2023,1707,N,F,ZWF,N_ZWF,Mid,23/12/2020,E06,23.3333333,1,13.3,310.3333329,T07,8.333333333,0,27.8,231.6666667
